,ニュースリスト
1274,2018-09-28
1275,3893
1276,3910
1277,3834
1278,3860
1279,3002100
1280,3860
1281,2018-10-01
1282,3885
1283,3885
1284,3822
1285,3830
1286,2630300
1287,3830
1288,2018-10-02
1289,3890
1290,3890
1291,3815
1292,3834
1293,3286000
1294,3834
1295,2018-10-03
1296,3813
1297,3846
1298,3784
1299,3784
1300,2516100
1301,3784
1302,2018-10-04
1303,3854
1304,3879
1305,3794
1306,3801
1307,2712100
1308,3801
1309,2018-10-05
1310,3800
1311,3814
1312,3780
1313,3797
1314,2811200
1315,3797
1316,2018-10-09
1317,3740
1318,3750
1319,3635
1320,3651
1321,4065400
1322,3651
1323,2018-10-10
1324,3652
1325,3675
1326,3610
1327,3649
1328,2713500
1329,3649
1330,2018-10-11
1331,3496
1332,3530
1333,3478
1334,3505
1335,4257500
1336,3505
1337,2018-10-12
1338,3475
1339,3505
1340,3452
1341,3502
1342,3576600
1343,3502
1344,2018-10-15
1345,3477
1346,3488
1347,3432
1348,3439
1349,2979800
1350,3439
1351,2018-10-16
1352,3467
1353,3472
1354,3432
1355,3468
1356,2261400
1357,3468
1358,2018-10-17
1359,3510
1360,3519
1361,3456
1362,3510
1363,2764400
1364,3510
1365,2018-10-18
1366,3510
1367,3533
1368,3480
1369,3487
1370,2394200
1371,3487
1372,2018-10-19
1373,3423
1374,3442
1375,3409
1376,3423
1377,2884400
1378,3423
1379,2018-10-22
1380,3368
1381,3424
1382,3355
1383,3408
1384,2814200
1385,3408
1386,2018-10-23
1387,3389
1388,3395
1389,3315
1390,3324
1391,3178100
1392,3324
1393,2018-10-24
1394,3341
1395,3350
1396,3287
1397,3302
1398,2965600
1399,3302
1400,2018-10-25
1401,3203
1402,3234
1403,3184
1404,3188
1405,3553300
1406,3188
1407,2018-10-26
1408,3258
1409,3293
1410,3212
1411,3256
1412,4101200
1413,3256
1414,2018-10-29
1415,3178
1416,3299
1417,3175
1418,3236
1419,3364800
1420,3236
1421,2018-10-30
1422,3213
1423,3430
1424,3210
1425,3418
1426,8216300
1427,3418
1428,2018-10-31
1429,3463
